"Table with row headers in column A, and column headers in rows 5 through 6.",
ALABAMA,"2,247"
ALASKA,330
ARIZONA,"3,649"
ARKANSAS,"1,186"
CALIFORNIA,"16,893"
COLORADO,"2,837"
CONNECTICUT,"1,681"
DELAWARE,489
DISTRICT OF COLUMBIA,448
FLORIDA,"9,720"
GEORGIA,"4,888"
HAWAII,630
IDAHO,843
ILLINOIS,"6,058"
INDIANA,"3,002"
IOWA,"1,618"
KANSAS,"1,297"
KENTUCKY,"2,210"
LOUISIANA,"2,041"
MAINE,766
MARYLAND,"3,166"
MASSACHUSETTS,"3,249"
MICHIGAN,"4,994"
MINNESOTA,"3,225"
MISSISSIPPI,"1,531"
MISSOURI,"2,990"
MONTANA,607
NEBRASKA,892
NEVADA,"1,351"
NEW HAMPSHIRE,797
NEW JERSEY,"4,638"
NEW MEXICO,938
NEW YORK,"8,609"
NORTH CAROLINA,"4,780"
NORTH DAKOTA,373
OHIO,"6,128"
OKLAHOMA,"1,631"
OREGON,"2,402"
PENNSYLVANIA,"6,756"
RHODE ISLAND,515
SOUTH CAROLINA,"2,459"
SOUTH DAKOTA,380
TENNESSEE,"3,346"
TEXAS,"11,874"
UTAH,"1,386"
VERMONT,342
VIRGINIA,"4,275"
WASHINGTON,"3,854"
WEST VIRGINIA,773
WISCONSIN,"3,253"
WYOMING,280
,
 ,
,
